enabled,name,countries,currency,auto_exchange_rate,exchange_rate,exchange_rate_fee,round_nearest,price_charm,round_after_taxes,currency_format,price_thousand_sep,price_decimal_sep,trim_zeros,price_num_decimals,disable_tax_adjustment,__wc_tax_display_shop
"yes","India","IN","INR","no","1","","","","no","false","","","no","","no","no"
"yes","Canada","CA","CAD","no","0.015","","","","no","false","","","no","","no","no"
"yes","USA","US","USD","no","0.011","","","","no","false","","","no","","no","no"
"yes","UK","GB","GBP","no","0.0082","","","","no","false","","","no","","no","no"
"yes","UAE","AE","AED","no","0.04","","","","no","false","","","no","","no","no"
"yes","Qatar","QA","QAR","no","0.04","","","","no","false","","","no","","no","no"
"yes","Saudi Arabia","SA","SAR","no","0.041","","","","no","false","","","no","","no","no"
"yes","Australia","AU","AUD","no","58","","","","no","false","","","no","","no","no"
"yes","Singapore","SG","SGD","no","0.014","","","","no","false","","","no","","no","no"
"yes","Bahrain","BH","BHD","no","0.00425","","","","no","false","","","no","","no","no"
"yes","Malyasia","MY","MYR","no","0.11111","","","","no","false","","","no","","no","no"
"yes","New Zealand","NZ","NZD","no","0.01887","","","","no","false","","","no","","no","no"
"yes","Oman","OM","OMR","no","0.0043","","","","no","false","","","no","","no","no"
"yes","Kuwait","KW","KWD","no","0.0033","","","","no","false","","","no","","no","no"
"yes","Europe zone 11","AL,BY,BA,GP,IS,XK,MQ,YT,MD,ME,MK,RE,BL,SX,PM,RS,UA","EUR","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 1","BD,BT,MV,NP,LK","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Czech Republic","CZ","CZK","no","1","","","","no","false","","","no","","no","no"
"yes","Sweden","SE","SEK","no","1","","","","no","false","","","no","","no","no"
"yes","Norway","NO","NOK","no","1","","","","no","false","","","no","","no","no"
"yes","Japan","JP","JPY","no","1","","","","no","false","","","no","","no","no"
"yes","poland","PL","PLN","no","1","","","","no","false","","","no","","no","no"
"yes","Denmark","DK","DKK","no","1","","","","no","false","","","no","","no","no"
"yes","Hungary","HU","HUF","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 2","HK,TH","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 3","CN","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 4","JO,PK","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 5","BN,KH,ID,LA,MO,MM,PH,KR,TW,TL,VN","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 6","PG","USD","no","1","","","","no","false","","","no","","no","no"
"yes","zone 8","BG,GI,GG,IL,JE,RU,TR","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 9","MX","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 10","AR,BO,BR,CL,CO,EC,GY,PY,PE,ZA,UY,VE","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Zone 11","AF,DZ,AS,AO,AI,AG,AM,AW,AZ,BS,BB,PW,BZ,BJ,BM,BQ,BW,BF,BI,CM,CV,KY,CF,TD,KM,CG,CD,CK,CR,CU,CW,DJ,DM,DO,EG,SV,GQ,ER,SZ,ET,FK,FO,FJ,GA,GM,GE,GH,GL,GD,GU,GT,GN,GW,HT,HN,IR,IQ,CI,JM,KZ,KE,KI,KG,LB,LS,LR,LY,MG,MW,ML,MH,MR,MU,FM,MN,MS,MA,MZ,NA,NR,NC,NI,NE,NG,NU,KP,MP,PA,PR,RW,ST,SH,LC,VC,WS,SN,SC,SL,SB,SO,SS,SD,SR,SY,TJ,TZ,TG,TO,TT,TN,TM,TC,TV,UG,UZ,VU,VG,VI,YE,ZM,ZW","USD","no","1","","","","no","false","","","no","","no","no"
"yes","Europe","AD,AT,BE,HR,CY,EE,FI,FR,GF,DE,GR,IE,IT,LV,LI,LT,LU,MT,MC,NL,PT,RO,SM,SK,SI,ES,VA","EUR","no","0.0093","","","","no","false","","","no","","no","no"
"yes","Switzerland","CH","CHF","no","1","","","","no","false","","","no","","no","no"
"yes","Rest of World","AX,AQ,BV,IO,CX,CC,PF,TF,HM,IM,NF,PS,PN,KN,MF,GS,SJ,TK,UM,WF,EH","USD","no","85","","","","no","false","","","no","","no","no"
